From_Class,From_Label,To_Class,To_Label,Count
4,Savanna Formation,21,Mosaic of Uses,6011565
4,Savanna Formation,15,Pasture,5431383
4,Savanna Formation,0,No data,308
4,Savanna Formation,3,Forest Formation,107259
4,Savanna Formation,20,Sugar Cane,2324
4,Savanna Formation,33,River Lake and Ocean,394074
4,Savanna Formation,12,Grassland,187162
4,Savanna Formation,41,Other Temporary Crops,23794
4,Savanna Formation,25,Other non Vegetated Areas,42610
4,Savanna Formation,24,Urban Area,9129
4,Savanna Formation,5,Mangrove,16
4,Savanna Formation,11,Wetland,17
4,Savanna Formation,29,Rocky Outcrop,221
4,Savanna Formation,23,Beach and Sand,10
4,Savanna Formation,31,Aquaculture,184
4,Savanna Formation,30,Mining,72
4,Savanna Formation,50,Herbaceous Sandbank Vegetation,3
4,Savanna Formation,48,Other Perennial Crops,501
4,Savanna Formation,49,Wooded Sandbank Vegetation,1
4,Savanna Formation,9,Forest Plantation,228
21,Mosaic of Uses,4,Savanna Formation,4565944
21,Mosaic of Uses,15,Pasture,14922719
21,Mosaic of Uses,0,No data,645
21,Mosaic of Uses,3,Forest Formation,492170
21,Mosaic of Uses,20,Sugar Cane,78058
21,Mosaic of Uses,33,River Lake and Ocean,354743
21,Mosaic of Uses,12,Grassland,335521
21,Mosaic of Uses,41,Other Temporary Crops,747354
21,Mosaic of Uses,25,Other non Vegetated Areas,163724
21,Mosaic of Uses,24,Urban Area,183113
21,Mosaic of Uses,5,Mangrove,4023
21,Mosaic of Uses,11,Wetland,5823
21,Mosaic of Uses,29,Rocky Outcrop,190
21,Mosaic of Uses,23,Beach and Sand,4346
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1347
21,Mosaic of Uses,31,Aquaculture,3085
21,Mosaic of Uses,30,Mining,2252
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,538
21,Mosaic of Uses,48,Other Perennial Crops,634
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,308
21,Mosaic of Uses,9,Forest Plantation,2091
15,Pasture,4,Savanna Formation,3960317
15,Pasture,21,Mosaic of Uses,8191302
15,Pasture,0,No data,567
15,Pasture,3,Forest Formation,29448
15,Pasture,20,Sugar Cane,6238
15,Pasture,33,River Lake and Ocean,199888
15,Pasture,12,Grassland,370411
15,Pasture,41,Other Temporary Crops,149406
15,Pasture,25,Other non Vegetated Areas,114885
15,Pasture,24,Urban Area,133314
15,Pasture,11,Wetland,1
15,Pasture,29,Rocky Outcrop,142
15,Pasture,23,Beach and Sand,15
15,Pasture,31,Aquaculture,17
15,Pasture,30,Mining,154
15,Pasture,48,Other Perennial Crops,3963
15,Pasture,9,Forest Plantation,19
0,No data,4,Savanna Formation,440
0,No data,21,Mosaic of Uses,901
0,No data,15,Pasture,903
0,No data,3,Forest Formation,256
0,No data,20,Sugar Cane,6
0,No data,33,River Lake and Ocean,78
0,No data,41,Other Temporary Crops,66
0,No data,25,Other non Vegetated Areas,8
0,No data,11,Wetland,56
0,No data,23,Beach and Sand,26
0,No data,50,Herbaceous Sandbank Vegetation,8
0,No data,9,Forest Plantation,20
3,Forest Formation,4,Savanna Formation,90349
3,Forest Formation,21,Mosaic of Uses,405296
3,Forest Formation,15,Pasture,28536
3,Forest Formation,0,No data,216
3,Forest Formation,20,Sugar Cane,1270
3,Forest Formation,33,River Lake and Ocean,15813
3,Forest Formation,12,Grassland,51
3,Forest Formation,41,Other Temporary Crops,7678
3,Forest Formation,25,Other non Vegetated Areas,211
3,Forest Formation,24,Urban Area,1380
3,Forest Formation,5,Mangrove,6977
3,Forest Formation,11,Wetland,216
3,Forest Formation,29,Rocky Outcrop,2
3,Forest Formation,23,Beach and Sand,275
3,Forest Formation,32,Hypersaline Tidal Flat,130
3,Forest Formation,31,Aquaculture,564
3,Forest Formation,30,Mining,104
3,Forest Formation,50,Herbaceous Sandbank Vegetation,3
3,Forest Formation,48,Other Perennial Crops,17
3,Forest Formation,49,Wooded Sandbank Vegetation,5
3,Forest Formation,9,Forest Plantation,1911
20,Sugar Cane,4,Savanna Formation,1375
20,Sugar Cane,21,Mosaic of Uses,72093
20,Sugar Cane,15,Pasture,7328
20,Sugar Cane,0,No data,6
20,Sugar Cane,3,Forest Formation,691
20,Sugar Cane,33,River Lake and Ocean,3210
20,Sugar Cane,12,Grassland,2
20,Sugar Cane,41,Other Temporary Crops,27849
20,Sugar Cane,25,Other non Vegetated Areas,116
20,Sugar Cane,24,Urban Area,2457
20,Sugar Cane,5,Mangrove,26
20,Sugar Cane,11,Wetland,46
20,Sugar Cane,23,Beach and Sand,123
20,Sugar Cane,32,Hypersaline Tidal Flat,151
20,Sugar Cane,31,Aquaculture,102
20,Sugar Cane,30,Mining,265
20,Sugar Cane,48,Other Perennial Crops,1
20,Sugar Cane,9,Forest Plantation,1
33,River Lake and Ocean,4,Savanna Formation,451945
33,River Lake and Ocean,21,Mosaic of Uses,365564
33,River Lake and Ocean,15,Pasture,198841
33,River Lake and Ocean,0,No data,79
