From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,11,Wetland,62352.0
15,Pasture,3,Forest Formation,4968.0
15,Pasture,21,Mosaic of Uses,176907.0
15,Pasture,33,River Lake and Ocean,2816.0
15,Pasture,50,Herbaceous Sandbank Vegetation,5816.0
15,Pasture,49,Wooded Sandbank Vegetation,2611.0
15,Pasture,23,Beach and Sand,2545.0
15,Pasture,9,Forest Plantation,5680.0
15,Pasture,24,Urban Area,66.0
15,Pasture,5,Mangrove,1.0
15,Pasture,25,Other non Vegetated Areas,162.0
15,Pasture,46,Coffee,182.0
15,Pasture,20,Sugar Cane,98.0
15,Pasture,41,Other Temporary Crops,673.0
11,Wetland,15,Pasture,84198.0
11,Wetland,3,Forest Formation,233.0
11,Wetland,21,Mosaic of Uses,31085.0
11,Wetland,33,River Lake and Ocean,19540.0
11,Wetland,50,Herbaceous Sandbank Vegetation,130.0
11,Wetland,49,Wooded Sandbank Vegetation,109.0
11,Wetland,23,Beach and Sand,3289.0
11,Wetland,9,Forest Plantation,233.0
11,Wetland,24,Urban Area,5.0
11,Wetland,5,Mangrove,412.0
11,Wetland,25,Other non Vegetated Areas,272.0
11,Wetland,46,Coffee,1.0
11,Wetland,32,Hypersaline Tidal Flat,766.0
3,Forest Formation,15,Pasture,15631.0
3,Forest Formation,11,Wetland,268.0
3,Forest Formation,21,Mosaic of Uses,9536.0
3,Forest Formation,33,River Lake and Ocean,3924.0
3,Forest Formation,49,Wooded Sandbank Vegetation,2.0
3,Forest Formation,9,Forest Plantation,1814.0
3,Forest Formation,5,Mangrove,118.0
3,Forest Formation,25,Other non Vegetated Areas,1.0
3,Forest Formation,46,Coffee,2.0
3,Forest Formation,32,Hypersaline Tidal Flat,6.0
21,Mosaic of Uses,15,Pasture,166398.0
21,Mosaic of Uses,11,Wetland,34808.0
21,Mosaic of Uses,3,Forest Formation,7305.0
21,Mosaic of Uses,33,River Lake and Ocean,10630.0
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,2262.0
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,3487.0
21,Mosaic of Uses,23,Beach and Sand,3761.0
21,Mosaic of Uses,9,Forest Plantation,1165.0
21,Mosaic of Uses,24,Urban Area,102.0
21,Mosaic of Uses,5,Mangrove,30.0
21,Mosaic of Uses,25,Other non Vegetated Areas,707.0
21,Mosaic of Uses,46,Coffee,16.0
21,Mosaic of Uses,20,Sugar Cane,3.0
21,Mosaic of Uses,32,Hypersaline Tidal Flat,7.0
21,Mosaic of Uses,41,Other Temporary Crops,12.0
33,River Lake and Ocean,15,Pasture,1684.0
33,River Lake and Ocean,11,Wetland,20978.0
33,River Lake and Ocean,3,Forest Formation,4419.0
33,River Lake and Ocean,21,Mosaic of Uses,15166.0
33,River Lake and Ocean,50,Herbaceous Sandbank Vegetation,502.0
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,131.0
33,River Lake and Ocean,23,Beach and Sand,2538.0
33,River Lake and Ocean,9,Forest Plantation,26.0
33,River Lake and Ocean,24,Urban Area,64.0
33,River Lake and Ocean,5,Mangrove,356.0
33,River Lake and Ocean,25,Other non Vegetated Areas,1283.0
33,River Lake and Ocean,32,Hypersaline Tidal Flat,1.0
50,Herbaceous Sandbank Vegetation,15,Pasture,6758.0
50,Herbaceous Sandbank Vegetation,11,Wetland,209.0
50,Herbaceous Sandbank Vegetation,21,Mosaic of Uses,2609.0
50,Herbaceous Sandbank Vegetation,33,River Lake and Ocean,469.0
50,Herbaceous Sandbank Vegetation,49,Wooded Sandbank Vegetation,10.0
50,Herbaceous Sandbank Vegetation,23,Beach and Sand,11215.0
50,Herbaceous Sandbank Vegetation,24,Urban Area,8.0
50,Herbaceous Sandbank Vegetation,25,Other non Vegetated Areas,175.0
49,Wooded Sandbank Vegetation,15,Pasture,4271.0
49,Wooded Sandbank Vegetation,11,Wetland,299.0
49,Wooded Sandbank Vegetation,3,Forest Formation,27.0
49,Wooded Sandbank Vegetation,21,Mosaic of Uses,3009.0
49,Wooded Sandbank Vegetation,33,River Lake and Ocean,85.0
49,Wooded Sandbank Vegetation,50,Herbaceous Sandbank Vegetation,23.0
49,Wooded Sandbank Vegetation,23,Beach and Sand,44.0
49,Wooded Sandbank Vegetation,9,Forest Plantation,309.0
49,Wooded Sandbank Vegetation,5,Mangrove,29.0
