From_Class,From_Label,To_Class,To_Label,Count
4,Savanna Formation,21,Mosaic of Uses,7981659
4,Savanna Formation,15,Pasture,6339376
4,Savanna Formation,3,Forest Formation,480477
4,Savanna Formation,0,No data,69
4,Savanna Formation,20,Sugar Cane,14971
4,Savanna Formation,33,River Lake and Ocean,301027
4,Savanna Formation,12,Grassland,171545
4,Savanna Formation,25,Other non Vegetated Areas,62657
4,Savanna Formation,24,Urban Area,10984
4,Savanna Formation,48,Other Perennial Crops,116766
4,Savanna Formation,41,Other Temporary Crops,53181
4,Savanna Formation,30,Mining,1115
4,Savanna Formation,9,Forest Plantation,121
4,Savanna Formation,39,Soybean,1
21,Mosaic of Uses,4,Savanna Formation,5134114
21,Mosaic of Uses,15,Pasture,18215629
21,Mosaic of Uses,3,Forest Formation,690812
21,Mosaic of Uses,0,No data,740
21,Mosaic of Uses,20,Sugar Cane,210112
21,Mosaic of Uses,33,River Lake and Ocean,488566
21,Mosaic of Uses,12,Grassland,411769
21,Mosaic of Uses,25,Other non Vegetated Areas,546050
21,Mosaic of Uses,24,Urban Area,168876
21,Mosaic of Uses,48,Other Perennial Crops,83806
21,Mosaic of Uses,5,Mangrove,3485
21,Mosaic of Uses,41,Other Temporary Crops,94207
21,Mosaic of Uses,11,Wetland,1892
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1012
21,Mosaic of Uses,23,Beach and Sand,1962
21,Mosaic of Uses,30,Mining,2163
21,Mosaic of Uses,31,Aquaculture,1200
21,Mosaic of Uses,9,Forest Plantation,1179
15,Pasture,4,Savanna Formation,4533115
15,Pasture,21,Mosaic of Uses,11378661
15,Pasture,3,Forest Formation,190477
15,Pasture,0,No data,92
15,Pasture,20,Sugar Cane,96265
15,Pasture,33,River Lake and Ocean,183242
15,Pasture,12,Grassland,165648
15,Pasture,25,Other non Vegetated Areas,264473
15,Pasture,24,Urban Area,134575
15,Pasture,48,Other Perennial Crops,163021
15,Pasture,41,Other Temporary Crops,632226
15,Pasture,11,Wetland,7
15,Pasture,30,Mining,739
15,Pasture,9,Forest Plantation,159
15,Pasture,39,Soybean,34
3,Forest Formation,4,Savanna Formation,432486
3,Forest Formation,21,Mosaic of Uses,594476
3,Forest Formation,15,Pasture,244215
3,Forest Formation,0,No data,403
3,Forest Formation,20,Sugar Cane,3949
3,Forest Formation,33,River Lake and Ocean,28633
3,Forest Formation,12,Grassland,454
3,Forest Formation,25,Other non Vegetated Areas,346
3,Forest Formation,24,Urban Area,1128
3,Forest Formation,48,Other Perennial Crops,12657
3,Forest Formation,5,Mangrove,6510
3,Forest Formation,41,Other Temporary Crops,2207
3,Forest Formation,11,Wetland,88
3,Forest Formation,32,Hypersaline Tidal Flat,112
3,Forest Formation,23,Beach and Sand,46
3,Forest Formation,30,Mining,96
3,Forest Formation,31,Aquaculture,328
3,Forest Formation,9,Forest Plantation,840
0,No data,4,Savanna Formation,73
0,No data,21,Mosaic of Uses,757
0,No data,15,Pasture,89
0,No data,3,Forest Formation,446
0,No data,20,Sugar Cane,6
0,No data,33,River Lake and Ocean,28
0,No data,25,Other non Vegetated Areas,13
0,No data,41,Other Temporary Crops,3
0,No data,11,Wetland,1
0,No data,23,Beach and Sand,11
20,Sugar Cane,4,Savanna Formation,8256
20,Sugar Cane,21,Mosaic of Uses,188643
20,Sugar Cane,15,Pasture,124907
20,Sugar Cane,3,Forest Formation,5618
20,Sugar Cane,0,No data,6
20,Sugar Cane,33,River Lake and Ocean,4138
20,Sugar Cane,12,Grassland,2
20,Sugar Cane,25,Other non Vegetated Areas,140
20,Sugar Cane,24,Urban Area,3837
20,Sugar Cane,48,Other Perennial Crops,905
20,Sugar Cane,5,Mangrove,25
20,Sugar Cane,41,Other Temporary Crops,1201
20,Sugar Cane,11,Wetland,21
20,Sugar Cane,32,Hypersaline Tidal Flat,217
20,Sugar Cane,23,Beach and Sand,67
20,Sugar Cane,30,Mining,245
20,Sugar Cane,31,Aquaculture,83
20,Sugar Cane,9,Forest Plantation,128
33,River Lake and Ocean,4,Savanna Formation,335679
33,River Lake and Ocean,21,Mosaic of Uses,400965
33,River Lake and Ocean,15,Pasture,139904
33,River Lake and Ocean,3,Forest Formation,37771
33,River Lake and Ocean,0,No data,34
33,River Lake and Ocean,20,Sugar Cane,3968
33,River Lake and Ocean,12,Grassland,13928
33,River Lake and Ocean,25,Other non Vegetated Areas,42977
33,River Lake and Ocean,24,Urban Area,4727
33,River Lake and Ocean,48,Other Perennial Crops,10065
